customer_id,maiden name
6,Anderson
13,Çelik
16,O'Sullivan
24,García
33,Rossi
35,Moreau
37,Zhu
44,Ivanova
46,Petrova
51,Carter
54,Sato
55,Smirnova
63,Thompson
64,Li
80,Adebayo
85,Gallagher
93,Zhang
104,Laurent
107,Fernández
108,Chávez
112,Bennett
114,Schmidt
115,Ríos
127,Mikhailova
138,Chen
140,Edwards
141,Fujimoto
142,Davies
143,Yılmaz
151,Wang
156,Akinsola
162,Petit
163,Takahashi
165,Liu
177,Méndez
178,Rodríguez
191,Pavlova
195,Müller
196,Schneider
197,Huang
201,Fischer
204,Şahin
206,Morales
221,Bianchi
227,Weber
229,Vega
237,Kim
240,Nakamura
242,Zhao
247,Jiménez
249,Zhou
267,Gao
268,Patel
277,Eze
283,Deng
286,Nwachukwu
482,Gómez
588,Miao
